loc_rowid,pl_hostname,ra_str,ra,dec_str,dec,st_elon,st_elat,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,e_pmRA,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,duplicate_id,priority,splist
7,1RXS J160929.1-210524,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,244.365684,-0.06841,48964101,242.376268,-21.083036,NaN,NaN,11.026,STAR,2mass,0,20180610,NaN,NaN,NaN,NaN,14.168,0.049,12.618,0.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.82,0.027,9.121,0.023,8.916,0.021,8.794,0.022,8.79,0.02,8.684,0.028,8.531,0.37,11.8954,0.0003,0.018,4060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85,NaN,,NaN,NaN,NaN,NaN,0.288462,NaN,97,0.01429145,,0,knownplanet
16,2MASS J21402931+1625183 A,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,333.590507,28.526095,301728657,325.122159,16.421759,NaN,NaN,14.69,STAR,2mass,0,20180610,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,50,21.5491,0.0586894,19.7244,0.0222215,16.8302,0.00511099,15.1339,0.00496446,12.94,0.033,12.266,0.04,11.826,0.031,11.375,0.022,11.135,0.02,10.687,0.096,8.971,NaN,NaN,NaN,1,2300,NaN,5.18316,NaN,NaN,NaN,0.12,NaN,0.08,NaN,,0.0003630517,NaN,NaN,NaN,0.122475,NaN,53,0.2193466,,0.00180442471934216,knownplanet
12,2MASS J02192210-3925225,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,13.508497,-49.30478,77111651,34.842106,-39.422928,NaN,NaN,13.492,STAR,2mass,0,20180610,NaN,NaN,NaN,NaN,18.549,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.381,0.026,10.811,0.027,10.404,0.025,10.148,0.023,9.901,0.02,9.614,0.037,9.001,NaN,NaN,NaN,0.175,3064,NaN,4.58551,NaN,NaN,NaN,0.28,NaN,0.11,NaN,,0.006225379,NaN,NaN,NaN,0.0138822,NaN,16,6.464617E-06,,0.0018099594279491,knownplanet
13,2MASS J04414489+2301513,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,72.050227,0.80244,118893899,70.437073,23.030941,NaN,NaN,17.078,STAR,2mass,0,20180610,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.419,0.026,13.726,0.029,13.161,0.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.7136,0.0226887,0.029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,79,14.56426,,0,knownplanet
50,BD+48 738,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,54.573323,32.030243,302069358,40.710224,49.58696,2,-7.5,8.07,STAR,2mass,0,20180610,1.4,1.3,NaN,NaN,10.352,0.036,9.139,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.704,0.021,6.077,0.047,5.904,0.018,5.887,0.103,5.831,0.052,5.854,0.016,5.746,0.043,NaN,NaN,0.347,4414,NaN,2.22487,NaN,NaN,NaN,11,NaN,0.74,NaN,GIANT,41.3818,NaN,NaN,NaN,NaN,NaN,133,0.006160641,,0.000151654426119814,knownplanet
62,CHXR 73,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,238.71138,-66.332993,454291479,166.619893,-77.625877,NaN,NaN,14.424,STAR,2mass,0,20180610,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.674,0.028,11.317,0.024,10.703,0.023,10.275,0.169,10.201,0.02,10.108,0.051,9.406,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.35,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,42,0.01444187,,0,knownplanet
68,CoRoT-13,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,104.369342,-27.893388,281909674,102.721137,-5.086445,-2.06661,-13.7179,14.347,STAR,2mass,0,20180610,2.16054,2.16054,NaN,NaN,15.21,0.108,15.005,0.297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.71,0.024,13.406,0.029,13.376,0.039,13.17,0.025,13.217,0.03,12.615,NaN,8.946,NaN,14.8188,0.00138839,0.018,5945,NaN,4.46721,NaN,NaN,NaN,1.01,NaN,1.09,NaN,DWARF,1.148008,NaN,1357.41,NaN,NaN,NaN,242,0.3382575,,9.83588394729999E-05,knownplanet
69,CoRoT-14,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,105.210636,-28.269246,282706928,103.424211,-5.536037,-0.772672,0.809924,15.112,STAR,2mass,0,20180610,2.16054,2.16054,NaN,NaN,17.011,0.16,15.932,0.206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.321,0.036,14.007,0.047,13.806,0.053,13.679,0.025,13.729,0.039,12.03,0.363,9.14,NaN,15.6968,0.00230363,0.021,6035,NaN,4.32594,NaN,NaN,NaN,1.21,NaN,1.13,NaN,DWARF,1.749744,NaN,NaN,NaN,NaN,NaN,189,0.09696122,,3.88620133562048E-05,knownplanet
70,CoRoT-16,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,278.876385,17.174411,218299481,278.524691,-6.002595,NaN,NaN,14.619,STAR,2mass,0,20180610,NaN,NaN,NaN,NaN,17.417,0.103,16.052,0.217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.496,0.029,12.98,0.03,12.847,0.037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.078,5650,NaN,4.32873,NaN,NaN,NaN,1.19,NaN,1.1,NaN,,1.300117,NaN,NaN,NaN,NaN,NaN,883,0.7444987,,5.37255254660769E-05,knownplanet
66,CoRoT-11,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,282.166083,28.926737,110178537,280.687263,5.937688,NaN,NaN,11.987,STAR,2mass,0,20180610,NaN,NaN,NaN,NaN,13.529,0.029,12.897,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.589,0.021,11.416,0.029,11.248,0.022,11.173,0.022,11.265,0.021,11.47,0.206,9.198,NaN,12.6185,0.0005,0.113,6440,NaN,4.26879,NaN,0.04,0.03,1.37,NaN,1.27,NaN,,2.908569,NaN,NaN,NaN,NaN,NaN,510,1.445533,,0.0002973624645553,knownplanet
