loc_rowid,pl_hostname,ra_str,ra,dec_str,dec,st_elon,st_elat,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,e_pmRA,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,duplicate_id,priority,splist,rakane,deckane,elon,elat,sector_0,sector_1,sector_2,sector_3,sector_4,sector_5,sector_6,sector_7,sector_8,sector_9,sector_10,sector_11,sector_12,total_sectors_obsd
7,1RXS J160929.1-210524,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,244.365684,-0.06841,48964101,242.376268,-21.083036,,,11.026,STAR,2mass,0.0,20180610,,,,,14.168,0.049,12.618,0.069,,,,,,,,,,,9.82,0.027000000000000003,9.121,0.023,8.916,0.021,8.794,0.022000000000000002,8.79,0.02,8.684,0.027999999999999997,8.531,0.37,11.8954,0.0003,0.018000000000000002,4060.0,,,,,,,,0.85,,,,,,,0.288462,,97,0.01429145,,0.0,knownplanet,242.376268,-21.083036,244.36568593528807,-0.06841585664319473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2MASS J21402931+1625183 A,21h40m29.32s,325.122159,+16d25m18.3s,16.421758999999998,333.590507,28.526095,301728657,325.122159,16.421758999999998,,,14.69,STAR,2mass,0.0,20180610,,,,,,,,,30.0,50.0,21.5491,0.0586894,19.7244,0.0222215,16.8302,0.00511099,15.1339,0.00496446,12.94,0.033,12.265999999999998,0.04,11.825999999999999,0.031,11.375,0.022000000000000002,11.135,0.02,10.687000000000001,0.096,8.971,,,,1.0,2300.0,,5.18316,,,,0.12,,0.08,,,0.0003630517,,,,0.122475,,53,0.2193466,,0.00180442471934216,knownplanet,325.122159,16.421758999999998,333.59050556289486,28.52608540229584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2MASS J02192210-3925225,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928000000006,13.508497,-49.30478,77111651,34.842106,-39.422928000000006,,,13.492,STAR,2mass,0.0,20180610,,,,,18.549,0.162,,,,,,,,,,,,,11.380999999999998,0.026000000000000002,10.811,0.027000000000000003,10.404000000000002,0.025,10.148,0.023,9.901,0.02,9.613999999999999,0.037000000000000005,9.001,,,,0.175,3064.0,,4.58551,,,,0.28,,0.11,,,0.0062253790000000005,,,,0.0138822,,16,6.464617e-06,,0.0018099594279491,knownplanet,34.842106,-39.422928000000006,13.508511479117194,-49.30478390407545,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13,2MASS J04414489+2301513,04h41m44.90s,70.437073,+23d01m51.4s,23.030941000000002,72.050227,0.8024399999999999,118893899,70.437073,23.030941000000002,,,17.078,STAR,2mass,0.0,20180610,,,,,,,,,,,,,,,,,,,14.419,0.026000000000000002,13.725999999999999,0.028999999999999998,13.161,0.025,,,,,,,,,18.7136,0.0226887,0.028999999999999998,,,,,,,,,0.02,,,,,,,,,79,14.56426,,0.0,knownplanet,70.437073,23.030941000000002,72.05022834459146,0.8024470987031738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,BD+48 738,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,54.573322999999995,32.030243,302069358,40.710224,49.58696,2.0,-7.5,8.07,STAR,2mass,0.0,20180610,1.4,1.3,,,10.352,0.036000000000000004,9.139,0.004,,,,,,,,,,,6.704,0.021,6.077000000000001,0.047,5.904,0.018000000000000002,5.8870000000000005,0.10300000000000001,5.831,0.052000000000000005,5.854,0.016,5.746,0.043,,,0.34700000000000003,4414.0,,2.22487,,,,11.0,,0.74,,GIANT,41.3818,,,,,,133,0.006160641,,0.00015165442611981398,knownplanet,40.710224,49.58696,54.573318158453866,32.030247628283256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,CHXR 73,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,238.71138,-66.332993,454291479,166.619893,-77.625877,,,14.424000000000001,STAR,2mass,0.0,20180610,,,,,,,,,,,,,,,,,,,12.674000000000001,0.027999999999999997,11.317,0.024,10.703,0.023,10.275,0.16899999999999998,10.201,0.02,10.107999999999999,0.051,9.406,,,,1.0,,,,,,,,,0.35,,,,,,,,,42,0.01444187,,0.0,knownplanet,166.619893,-77.625877,238.71135934636655,-66.33299789893445,0,0,0,0,0,0,0,0,0,0,0,1,0,1
68,CoRoT-13,06h50m53.07s,102.721137,-05d05m11.2s,-5.086444999999999,104.369342,-27.893388,281909674,102.721137,-5.086444999999999,-2.06661,-13.7179,14.347000000000001,STAR,2mass,0.0,20180610,2.16054,2.16054,,,15.21,0.10800000000000001,15.005,0.297,,,,,,,,,,,13.71,0.024,13.405999999999999,0.028999999999999998,13.376,0.039,13.17,0.025,13.217,0.03,12.615,,8.946,,14.8188,0.00138839,0.018000000000000002,5945.0,,4.46721,,,,1.01,,1.09,,DWARF,1.148008,,1357.41,,,,242,0.3382575,,9.83588394729999e-05,knownplanet,102.721137,-5.086444999999999,104.36934600547426,-27.893377001566197,0,0,0,0,0,1,0,0,0,0,0,0,0,1
69,CoRoT-14,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,105.21063600000001,-28.269246000000003,282706928,103.424211,-5.536037,-0.772672,0.809924,15.112,STAR,2mass,0.0,20180610,2.16054,2.16054,,,17.011,0.16,15.932,0.20600000000000002,,,,,,,,,,,14.321,0.036000000000000004,14.007,0.047,13.806,0.053,13.679,0.025,13.729000000000001,0.039,12.03,0.363,9.14,,15.6968,0.00230363,0.021,6035.0,,4.32594,,,,1.21,,1.13,,DWARF,1.749744,,,,,,189,0.09696122,,3.8862013356204795e-05,knownplanet,103.424211,-5.536037,105.2106392194273,-28.26923453640873,0,0,0,0,0,1,0,0,0,0,0,0,0,1
70,CoRoT-16,18h34m05.93s,278.524691,-06d00m09.3s,-6.0025949999999995,278.876385,17.174411,218299481,278.524691,-6.0025949999999995,,,14.619000000000002,STAR,2mass,0.0,20180610,,,,,17.417,0.10300000000000001,16.052,0.217,,,,,,,,,,,13.495999999999999,0.028999999999999998,12.98,0.03,12.847000000000001,0.037000000000000005,,,,,,,,,,,0.078,5650.0,,4.32873,,,,1.19,,1.1,,,1.300117,,,,,,883,0.7444987,,5.37255254660769e-05,knownplanet,278.524691,-6.0025949999999995,278.87638833684485,17.174399984515023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,CoRoT-11,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,282.166083,28.926737,110178537,280.687263,5.937688,,,11.987,STAR,2mass,0.0,20180610,,,,,13.529000000000002,0.028999999999999998,12.897,0.114,,,,,,,,,,,11.589,0.021,11.415999999999999,0.028999999999999998,11.248,0.022000000000000002,11.173,0.022000000000000002,11.265,0.021,11.47,0.20600000000000002,9.198,,12.6185,0.0005,0.113,6440.0,,4.26879,,0.04,0.03,1.37,,1.27,,,2.908569,,,,,,510,1.445533,,0.0002973624645553,knownplanet,280.687263,5.937688,282.16608678302543,28.92672603846844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
