RA,DEC,TESSMAG,TEFF,PRIORITY,RADIUS,MASS,CONTRATIO,ECLONG,ECLAT,DIST,TICID,SPEC_LIST
20.905163,-41.269856,7.1960000000000015,6136.0,0.005922253405760001,1.19,1.13,0.000287421925519,358.6688680000001,-45.386244,55.2812692933,41862035,knownplanet
11.110997,-26.515679,7.146,5600.0,0.0,,0.87,0.00041203090590199987,358.735936,-28.567625,34.009461553899996,43400838,knownplanet
21.302109,28.566725,6.5710000000000015,6050.0,0.0,,1.12,0.0026172661607600004,30.549435,18.168267,44.347751256,18121498,knownplanet
23.334102,29.265118,7.779,5793.0,0.0056387954958,1.0,1.0,0.000275123039121,32.559721,18.12345,52.3560209424,18277196,knownplanet
17.696701,-66.188151,7.307,5386.0,0.010041889376,0.96,0.89,3.97516714491e-05,326.83933,-62.64796,36.1562799454,52121796,knownplanet
4.602908,-15.267314,10.605,5939.0,0.000848796648252,1.3,1.11,0.085808538522,357.991962,-15.806461,238.58235131700002,32487566,knownplanet
5.166975,31.989987,11.092,,0.000555604411224,1.47,1.24,0.0384798206586,18.388875,27.108199,,57984377,knownplanet
24.354314,-45.677896,8.833,6400.0,0.00359122090696,1.23,1.28,0.00261917609114,358.179666,-50.443552,126.475379025,100100827,knownplanet
1.046353,-47.360626,11.857,5540.0,0.000649886341201,1.05,1.06,5.03112438739e-06,337.446983,-42.831875,,160148385,knownplanet
5.237503,-35.998265,11.438,5100.0,0.000951243745152,0.92,0.9,0.000474470529697,348.354829,-34.655213,225.06660179099998,120610833,knownplanet
16.167285,-39.488225,7.124,5690.0,0.00613549949728,1.14,0.89,0.000496092584895,355.6951430000001,-41.984,42.4037001342,180871947,knownplanet
7.053901,42.06133,11.972,5747.0,0.0005177957297900001,1.08,1.13,0.164144716725,25.416983,35.336575,,190998418,knownplanet
9.573174,42.463076,10.34,6158.0,0.0012473125354800002,1.24,1.22,0.236067056585,27.65022,34.792343,,191284318,knownplanet
0.325751,-8.926322,9.466,6260.0,0.00078730234713,2.21,1.41,6.37223385257e-05,356.7226990000001,-8.3138,262.783107596,176220787,knownplanet
10.802496,-37.982645,7.244,5688.0,0.0,,0.99,0.0201768758502,351.967112,-38.564982,41.6901028619,118586897,knownplanet
2.470152,-50.267831,7.751,5902.0,0.00670068477937,1.01,0.96,9.65496051927e-05,336.277212,-45.769503,50.6004534933,200658785,knownplanet
9.45879,51.288763,10.648,6700.0,0.0008291058220560003,1.52,1.33,0.161101749385,33.265029,42.456967,,240681314,knownplanet
5.618692,-59.942551,11.632,5943.0,0.0006354611976050001,1.06,1.09,3.1067517008700003,329.017963,-54.45004599999999,,281459670,knownplanet
6.084518,-56.65003100000001,8.431000000000001,5941.0,0.0,,1.17,1.77924274816e-05,332.976926,-52.146054,86.91974475030001,281461362,knownplanet
7.49948,-5.76403,8.582,5192.0,0.0,,0.93,0.0007116825566689999,4.589944999999998,-8.267712,56.2287216546,244178536,knownplanet
24.604344,-55.772082,9.956,5640.0,0.002823978747010001,1.06,1.12,6.04766282848e-05,347.431599,-58.400998,145.98092649,230982885,knownplanet
13.079765,10.794715,11.395,5590.0,0.0,0.83,0.93,0.0152545827652,16.226332,4.784538,252.33503755599997,266015990,knownplanet
28.210556,-19.507013,6.99,6055.0,0.004606386434880001,1.33,1.24,0.000307595524773,18.379454,-28.921383,50.2557892127,266680498,knownplanet
5.160558999999999,-23.935731,10.211,5940.0,0.00109615844126,1.39,1.2,8.88899670367e-05,354.605817,-23.88706,,211438925,knownplanet
5.21807,-19.931184,7.707000000000002,6317.0,0.00217140905984,1.93,1.5,3.64412014139e-05,356.5064680000001,-20.289957,118.032149925,211439561,knownplanet
18.622169,-5.047396,6.942,6024.0,0.00659196235338,1.01,1.05,1.32431269227e-05,15.221048,-11.961121,36.8475598573,248381971,knownplanet
26.632738,2.700546,9.011,6250.0,0.00146022787993,1.73,1.46,6.87546006677e-05,25.691565,-7.751996000000001,,293435336,knownplanet
19.550552,2.702849,10.537,6410.0,0.0,1.7,1.32,3.23862833184e-05,19.072117,-5.1462650000000005,406.84851838099996,380907135,knownplanet
8.739677,4.381432,8.244,5261.0,0.0,0.86,0.86,0.000820166680668,9.752727,0.56312,45.8295142071,318707987,knownplanet
29.263334000000004,0.758835,10.141,6059.0,0.000499481232933,2.26,1.56,0.000221881035437,27.480494,-10.502309,299.154811284,422655579,knownplanet
3.961682,1.200447,10.992,6100.0,0.0,1.11,1.1,0.000507299824706,4.112225,-0.472963,232.420516732,427332229,knownplanet
16.952732,-8.233682,7.826,5746.0,0.00532570092606,1.02,0.96,0.000151310895492,12.380137,-14.251738,50.66160331880001,408047845,knownplanet
0.362141,39.383808,10.177,6518.0,0.00114551266391,1.46,1.32,0.00973649547679,18.384496,35.46533200000001,232.82107227,432549364,knownplanet
11.171663,20.448903,8.09,5702.0,0.0,,1.13,0.00358453461347,18.385681,14.378714000000002,78.9499301104,434225151,knownplanet
22.504202,-19.604526,7.731,5577.0,0.00275804893119,1.67,1.03,5.49559658798e-05,12.77617,-26.824744,81.0428960366,439501096,knownplanet
24.168162,-50.659178,11.192,5070.0,0.00151782185541,0.9,0.89,0.043793449691000005,353.146752,-54.371409,,158623531,knownplanet
9.516726,34.711555,11.872,4990.0,0.000786303641741,0.82,0.84,0.0007636713678489999,23.422603,27.93008,,267650535,knownplanet
21.065185,32.810757,12.7,5449.0,0.00035468265960300014,1.04,0.98,0.00101140411181,32.13736,22.147273,,61205803,knownplanet
4.0527760000000015,-79.851174,5.744,5540.0,1.0,0.9,0.9,0.0006042757878190001,294.81508,-65.241389,17.554427980699998,290543478,knownplanet;bright
20.496326,76.71034,6.33696,5075.0,0.0149584446872,0.78,0.83,0.0013730329070899998,64.96257299999999,59.417249,17.0088897754,468723402,knownplanet
7.142925999999999,-16.226304000000006,8.45859,4714.0,0.0078022134503,0.69,0.74,9.09991761303e-08,359.90306,-17.689897,34.6677529927,75377076,knownplanet
16.508531,-22.45313,9.10108,4962.0,0.0,,0.78,0.00244727317618,5.7371360000000005,-27.056866,50.443266916300004,268634769,knownplanet
12.887352,58.42616500000001,8.655,5130.0,0.00032512468728099995,6.26,1.87,0.0148565081139,41.149654,47.325054,431.38888171699995,312545949,knownplanet
0.7744850000000001,-62.46934200000001,13.129,5380.0,0.000402375624887,0.98,0.95,0.00197394908005,323.101048,-54.693791,,355703913,knownplanet
4.859266000000001,44.027639,12.768,5215.0,0.000490635153897,0.85,0.9,0.0844185605439,24.885917000000006,37.837779,,440113053,knownplanet
14.486328,34.985534,6.635,4830.0,0.000268863247045,9.09,1.01,0.00114627164802,27.679765000000003,26.393489,222.195267721,53848538,knownplanet
25.471452,2.704374,6.936,5034.0,0.0,,1.56,0.0006256421944299999,24.601507,-7.330278,129.647701772,380908091,knownplanet
13.000781,34.728414,12.255,5680.0,0.000397975950925,1.1,1.02,0.0460947966911,26.326671,26.688066,,53728859,knownplanet
25.920324,21.005313,8.048,4296.0,6.99947684836e-05,17.3,0.8,0.000244490035134,31.621666,9.587492,1083.63688732,60923874,knownplanet
21.871105,38.968146,13.024,5956.0,0.000229251946923,1.21,1.09,0.00254023078341,35.56438,27.502315000000007,,189380158,knownplanet
3.903156,-11.938108,12.333,5410.0,0.000431291346952,0.93,0.95,0.00610108155056,358.756977,-12.490449,,12862099,knownplanet
26.232612,20.083129,6.016,5680.0,0.0,,1.11,0.000392137069855,31.5598,8.621986,32.5732899023,456905162,knownplanet
13.755862,0.789563,7.127000000000002,4958.0,0.0,3.85,1.51,5.347744558890001e-07,12.966352,-4.69972,119.644308508,344627954,knownplanet
11.418138,7.8450380000000015,6.934,5035.0,0.0,4.9,1.72,0.000306748069609,13.56143,2.706575,132.284497588,405228516,knownplanet
5.305528,-8.281153999999999,7.902,4393.0,7.74692890026e-05,16.7,1.09,0.00026895355314700004,1.549852,-9.703129,673.702786525,37763102,knownplanet
15.138324,20.292482,7.095,4907.0,0.000254288311758,8.7,1.91,0.00033079914102099995,21.830278,12.753797,272.481798365,243146568,knownplanet
5.131345,30.974847,6.62,4757.0,0.000995922900717,3.8,1.31,0.00317911134293,17.854832000000005,26.21173,89.7086042603,57983992,knownplanet
19.449314,6.868908,12.959,5627.0,0.0,1.05,1.01,0.0007744067094269997,20.54607,-1.247383,,376939759,knownplanet
27.526336,-54.464995,6.859,4670.0,0.000434490841308,7.83,1.17,0.00744015730493,351.475359,-58.58955600000001,155.78834733899998,231019255,knownplanet
4.821035,14.054799,7.497000000000001,5049.0,0.0006230459000619999,4.5,1.61,0.000607240278494,10.055009,10.974988,159.23566879,303193565,knownplanet
34.560706,65.594365,6.994,6255.0,0.00377942225489,1.67,1.29,0.00271077951455,59.483236,47.924388,79.9686122712,12906712,knownplanet
59.152386,22.472657,12.275,4421.98,0.0,0.63,0.7,0.0489780716994,61.698488,2.013134,,14111411,knownplanet
59.889734,21.29867,10.404000000000002,5730.0,0.0,1.23,0.88,0.0388326707233,62.131799,0.725223,,14227229,knownplanet
39.240605,24.648051,6.574,6300.0,0.0051604281967,1.13,1.16,1.27893721441,44.567817,8.854792999999997,46.6785629293,22874788,knownplanet
