
**************************************************
All knownplanet from Stephen Kane's list in sector 2:

pl_hostname  is_transiting       Tmag  total_sectors_obsd
                WASP-18              1    8.83300                   2
                WASP-99              1    8.92300                   1
               WASP-117              1    9.63200                   2
                WASP-62              1    9.71600                  10
               WASP-100              1   10.30700                  12
                WASP-72              1   10.45200                   2
               WASP-126              1   10.55500                  10
               WASP-105              1   11.19200                   2
               WASP-119              1   11.54700                   6
               WASP-139              1   11.66400                   2
                WASP-53              1   11.69200                   1
                WASP-53              1   11.69200                   1
                 K2-208              1   11.77300                   1
                tau Cet              0    2.71200                   1
                tau Cet              0    2.71200                   1
                tau Cet              0    2.71200                   1
                tau Cet              0    2.71200                   1
               HD 27442              0    3.33400                   6
               HD 20794              0    3.64300                   2
               HD 20794              0    3.64300                   2
               HD 20794              0    3.64300                   2
               HD 20794              0    3.64300                   2
                 HR 810              0    4.90700                   2
               HD 10647              0    4.99900                   2
                HD 4732              0    5.14100                   1
                HD 4732              0    5.14100                   1
               HD 16417              0    5.17500                   1
                  GJ 86              0    5.17600                   2
                HR 2562              0    5.56500                  11
               HD 11964              0    5.73500                   1
               HD 11964              0    5.73500                   1
                HD 1461              0    5.91900                   1
                HD 1461              0    5.91900                   1
               HD 38283              0    6.14500                  12
               HD 40307              0    6.26600                  10
               HD 40307              0    6.26600                  10
               HD 40307              0    6.26600                  10
               HD 40307              0    6.26600                  10
               HD 40307              0    6.26600                  10
               HD 23079              0    6.55100                   2
               HIP 8541              0    6.85900                   2
                HD 7449              0    6.94200                   1
               HD 11506              0    6.99000                   1
               HD 11506              0    6.99000                   1
               HD 28254              0    7.02500                   3
                HD 6434              0    7.12400                   1
                HD 4208              0    7.14600                   1
                HD 8535              0    7.19600                   2
                HD 9174              0    7.73100                   1
               HD 30177              0    7.73500                   9
               HD 30177              0    7.73500                   9
                HD 6718              0    7.82600                   1
                HD 1690              0    7.90200                   1
               HD 23127              0    7.98500                   3
                 AB Pic              0    8.26500                  12
               HD 63454              0    8.38760                   5
               HD 27894              0    8.50800                   7
               HD 27894              0    8.50800                   7
               HD 27894              0    8.50800                   7
               HD 68402              0    8.51400                   5
                HD 2638              0    8.58200                   1
                 YZ Cet              0    9.07000                   1
