pl_hostname,is_transiting,Tmag,total_sectors_obsd
WASP-95,1,9.48,1
WASP-94 A,1,9.639,1
WASP-62,1,9.716,10
WASP-73,1,9.848,1
WASP-100,1,10.307,12
WASP-126,1,10.555,10
WASP-91,1,10.991,1
HATS-3,1,11.464,1
WASP-119,1,11.547,6
HATS-30,1,11.632,2
WASP-46,1,12.352,1
HATS-46,1,12.98,2
HATS-13,1,13.095999999999998,1
HATS-34,1,13.129,2
HATS-14,1,13.18,1
HD 11977,0,4.504,2
HIP 105854,0,4.753,1
HIP 107773,0,4.7860000000000005,1
HD 39091,0,5.097,5
HD 219077,0,5.323,1
HD 216435,0,5.5470000000000015,1
HD 216437,0,5.625,1
HD 4308,0,5.922999999999999,2
HD 38283,0,6.145,12
HD 213240,0,6.237,1
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 40307,0,6.266,10
HD 222076,0,6.537000000000001,1
GJ 832,0,6.68,1
GJ 832,0,6.68,1
HD 10180,0,6.761,2
HD 10180,0,6.761,2
HD 10180,0,6.761,2
HD 10180,0,6.761,2
HD 10180,0,6.761,2
HD 10180,0,6.761,2
HD 208487,0,6.955,1
HD 212301,0,7.25,1
HD 25171,0,7.252000000000002,7
HD 7199,0,7.307,2
HD 221287,0,7.313,1
HD 65216,0,7.331,9
HD 65216,0,7.331,9
HD 204313,0,7.376,1
HD 204313,0,7.376,1
HD 205739,0,8.046,1
HD 215497,0,8.073,1
HD 215497,0,8.073,1
HD 207832,0,8.149,1
HD 207832,0,8.149,1
AB Pic,0,8.265,12
HD 2039,0,8.431000000000001,2
WASP-94 B,0,9.991,1
WD 0806-661,0,13.707,8
