
**************************************************
All knownplanet from TIC7.1 in sector 2:

pl_hostname  is_transiting   PRIORITY    TESSMAG     RADIUS  total_sectors_obsd
                WASP-62              1   0.006540    9.71600       1.28                  10
               WASP-126              1   0.004181   10.55500       1.27                  10
                WASP-18              1   0.003591    8.83300       1.23                   2
               WASP-117              1   0.002976    9.63200       1.17                   2
                WASP-99              1   0.002319    8.92300       1.76                   1
               WASP-119              1   0.001671   11.54700       1.20                   6
               WASP-105              1   0.001518   11.19200       0.90                   2
               WASP-139              1   0.001343   11.66400       0.80                   2
                WASP-53              1   0.000955   11.69200       0.80                   1
                WASP-72              1   0.000664   10.45200       1.98                   2
               WASP-100              1   0.000000   10.30700        NaN                  12
               HD 68402              0   0.012928    8.51400       1.02                   5
               HD 63454              0   0.012279    8.38760       1.05                   5
                HD 7449              0   0.006592    6.94200       1.01                   1
               HD 28254              0   0.006490    7.02500       1.48                   3
                HD 6434              0   0.006135    7.12400       1.14                   1
                HD 8535              0   0.005922    7.19600       1.19                   2
                HD 6718              0   0.005326    7.82600       1.02                   1
               HD 11506              0   0.004606    6.99000       1.33                   1
                HD 9174              0   0.002758    7.73100       1.67                   1
2MASS J02192210-3925225              0   0.001810   13.49200       0.28                   1
               HIP 8541              0   0.000434    6.85900       7.83                   2
                HD 1690              0   0.000077    7.90200      16.70                   1
               HD 38283              0   0.000000    6.14500        NaN                  12
               HD 40307              0   0.000000    6.26600        NaN                  10
               HD 23079              0   0.000000    6.55100        NaN                   2
                HD 4208              0   0.000000    7.14600        NaN                   1
               HD 30177              0   0.000000    7.73500        NaN                   9
               HD 23127              0   0.000000    7.98500        NaN                   3
                 AB Pic              0   0.000000    8.26500        NaN                  12
               HD 27894              0   0.000000    8.50800        NaN                   7
                HD 2638              0   0.000000    8.58200        NaN                   1
               HIP 5158              0   0.000000    9.10108        NaN                   1

500 most-observed knownplanet from TIC7.1 in South:

pl_hostname  is_transiting     PRIORITY      TESSMAG       RADIUS  total_sectors_obsd
                WASP-100              1     0.000000     10.30700          NaN                  12
                 WASP-62              1     0.006540      9.71600         1.28                  10
                WASP-126              1     0.004181     10.55500         1.27                  10
                WASP-119              1     0.001671     11.54700         1.20                   6
                 KELT-15              1     0.001401     10.66700         1.48                   3
                 WASP-18              1     0.003591      8.83300         1.23                   2
                WASP-117              1     0.002976      9.63200         1.17                   2
                WASP-140              1     0.002378     10.26100         0.87                   2
                 WASP-79              1     0.001730      9.67500         1.53                   2
                WASP-121              1     0.001668     10.03800         1.46                   2
                WASP-105              1     0.001518     11.19200         0.90                   2
                WASP-139              1     0.001343     11.66400         0.80                   2
                 WASP-63              1     0.000955     10.41700         1.88                   2
                WASP-120              1     0.000929     10.55100         1.87                   2
                 WASP-72              1     0.000664     10.45200         1.98                   2
                 HATS-30              1     0.000635     11.63200         1.06                   2
                 WASP-64              1     0.000567     11.98800         1.06                   2
                  NGTS-1              1     0.000544     13.86200         0.57                   2
                 HATS-34              1     0.000402     13.12900         0.98                   2
                  WASP-8              1     0.003905      9.10900         0.94                   1
                 WASP-84              1     0.002960     10.00800         0.75                   1
               WASP-77 A              1     0.002955      9.50200         0.95                   1
                 WASP-97              1     0.002824      9.95600         1.06                   1
                 WASP-29              1     0.002739     10.19500         0.81                   1
               HIP 41378              1     0.002620      8.43900         1.40                   1
                 WASP-95              1     0.002562      9.48000         1.13                   1
                 WASP-99              1     0.002319      8.92300         1.76                   1
                 WASP-43              1     0.002094     11.01600         0.60                   1
                 WASP-91              1     0.002001     10.99100         0.86                   1
                WASP-101              1     0.001969      9.77600         1.29                   1
                WASP-156              1     0.001764     10.66100         0.76                   1
                WASP-130              1     0.001696     10.46700         0.96                   1
                 WASP-23              1     0.001677     11.68200         0.77                   1
                WASP-132              1     0.001642     11.05100         0.74                   1
                HAT-P-30              1     0.001501      9.91100         1.22                   1
                 WASP-49              1     0.001464     10.77000         0.98                   1
                 WASP-35              1     0.001434     10.41000         1.09                   1
                 KELT-11              1     0.001403      7.30900         2.72                   1
                 WASP-50              1     0.001357     11.00800         0.84                   1
                   K2-77              1     0.001149     11.20000         0.76                   1
                WASP-129              1     0.001128     11.30200         0.90                   1
